tcga,ej,a8fu,01a
tcga,ej,7783,11a
tcga,ej,a46i,01a
tcga,vn,a88n,01a
tcga,hc,7211,11a
tcga,vn,a88r,01a
tcga,g9,6333,11a
tcga,ej,5515,01a
tcga,ej,7317,11a
tcga,hc,7737,11a
tcga,hc,7233,01a
tcga,g9,6347,01a
tcga,kc,a7fa,01a
tcga,v1,a8mu,01a
tcga,hc,7744,01a
tcga,ej,7788,01a
tcga,ej,5526,01a
tcga,ej,7315,11a
tcga,ej,7789,11a
tcga,ej,5497,01a
tcga,yl,a8hk,01a
tcga,kk,a8if,01a
tcga,kc,a4bn,01a
tcga,yl,a8s8,01a
tcga,g9,6494,01a
tcga,m7,a724,01a
tcga,ej,7793,01a
tcga,xj,a9dq,01a
tcga,j4,a83m,01a
tcga,qu,a6ip,01a
tcga,kk,a8ic,01a
tcga,h9,7775,01a
tcga,hc,7080,01a
tcga,zg,a8qz,01a
tcga,ch,5748,01a
tcga,yl,a8sq,01b
tcga,ej,7123,11a
tcga,ch,5743,01a
tcga,hc,7747,11a
tcga,yl,a8sh,01b
tcga,ej,7331,11a
tcga,g9,6343,01a
tcga,hc,8257,01a
tcga,hc,a76w,01a
tcga,hc,a631,01a
tcga,ej,7321,01a
tcga,g9,6356,01a
tcga,kk,a8ig,01a
tcga,hc,a6hx,01a
tcga,hc,a6as,01a
tcga,ej,7797,01a
tcga,hc,7209,01a
tcga,hc,a6al,01a
tcga,hc,8216,01a
tcga,v1,a8mj,01a
tcga,g9,6362,01a
tcga,kk,a8ih,01a
tcga,g9,6354,01a
tcga,hc,a76x,01a
tcga,kk,a7ap,01a
tcga,hc,8264,01b
tcga,kk,a7b1,01a
tcga,ch,5788,01a
tcga,g9,6336,01a
tcga,ej,a65m,01a
tcga,kk,a7b2,01a
tcga,hc,7081,01a
tcga,kc,a7f5,01a
tcga,qu,a6im,01a
tcga,hc,a6ao,01a
tcga,ej,7125,01a
tcga,m7,a71y,01a
tcga,ej,7797,11a
tcga,ej,a7nh,01a
tcga,ej,a46f,01a
tcga,g9,6499,01a
tcga,2a,a8w3,01a
tcga,ch,5771,01a
tcga,hc,7210,01a
tcga,hc,7747,01a
tcga,vp,a87b,01a
tcga,kk,a8ij,01a
tcga,j4,a6g1,01a
tcga,kk,a6e5,01a
tcga,ej,5503,01a
tcga,vn,a88m,01a
tcga,g9,6356,11a
tcga,ej,7125,11a
tcga,yl,a9wh,01a
tcga,ch,5744,01a
tcga,ej,5525,01a
tcga,xq,a8tb,01a
tcga,yl,a8s9,01a
tcga,hc,8259,01a
tcga,ej,a6ra,01a
tcga,xq,a8ta,01a
tcga,hc,7738,01a
tcga,hc,8262,01a
tcga,v1,a8mg,01a
tcga,ej,5499,01a
tcga,ej,7115,11a
tcga,ej,5505,01a
tcga,zg,a8qw,01a
tcga,ej,a8fs,01a
tcga,hc,8258,01a
tcga,kk,a6e1,01a
tcga,j9,a52b,01a
tcga,m7,a721,01a
tcga,kk,a8i4,01a
tcga,j4,a6m7,01a
tcga,hc,8259,11a
tcga,kk,a7aq,01a
tcga,ej,5501,01a
tcga,ch,5765,01a
tcga,ch,5737,01a
tcga,ej,a8fp,01a
tcga,h9,a6bx,01a
tcga,yl,a8sf,01a
tcga,y6,a8tl,01a
tcga,ch,5762,01a
tcga,ej,7784,11a
tcga,kk,a59z,01a
tcga,hc,a48f,01a
tcga,ej,7327,01a
tcga,j4,8200,01a
tcga,ej,7328,01a
tcga,v1,a8wl,01a
tcga,zg,a8qy,01a
tcga,hc,7737,01a
tcga,kk,a6dy,01a
tcga,v1,a8wv,01a
tcga,ej,5517,01a
tcga,ej,5495,01a
tcga,hc,7752,11a
tcga,hc,7078,01a
tcga,j4,a83k,01a
tcga,yl,a8hl,01a
tcga,g9,7521,01a
tcga,yl,a8sr,01b
tcga,vn,a88q,01a
tcga,vp,a875,01a
tcga,ej,7786,11a
tcga,ej,7115,01a
tcga,g9,6385,01a
tcga,v1,a8mk,01a
tcga,hc,8256,01a
tcga,v1,a8mf,01a
tcga,ej,5524,01a
tcga,g9,7510,01a
tcga,hc,7817,01b
tcga,vp,a87d,01a
tcga,ej,7328,11a
tcga,ej,7314,11a
tcga,yl,a8sc,01a
tcga,ej,7314,01a
tcga,kc,a7f6,01a
tcga,ej,7794,01a
tcga,hc,8265,01a
tcga,hc,7213,01a
tcga,x4,a8kq,01a
tcga,ej,5512,01a
tcga,m7,a723,01a
tcga,j4,a67t,01a
tcga,hc,7745,01a
tcga,ej,a65e,01a
tcga,ej,7786,01a
tcga,yl,a8sb,01a
tcga,g9,6362,11a
tcga,kk,a8ii,01a
tcga,hc,a8cy,01a
tcga,h9,a6by,01a
tcga,ej,7781,11a
tcga,kk,a59v,01a
tcga,hc,7742,01a
tcga,ej,a7nf,01a
tcga,g9,6370,01a
tcga,ej,a46h,01a
tcga,ej,a46g,01a
tcga,ej,a46d,01a
tcga,kk,a8id,01a
tcga,kk,a7b4,01a
tcga,yl,a8hj,01a
tcga,hc,a6aq,01a
tcga,hc,7821,01a
tcga,g9,6367,01a
tcga,g9,7525,01a
tcga,ch,5761,01a
tcga,2a,a8vl,01a
tcga,ch,5746,01a
tcga,j4,a67o,01a
tcga,ej,a7nm,01a
tcga,ch,5761,11a
tcga,fc,a8o0,01a
tcga,ch,5738,01a
tcga,vn,a88p,01a
tcga,ej,5506,01a
tcga,vp,a87c,01a
tcga,ej,7783,01a
tcga,ej,7782,11a
tcga,hc,a632,01a
tcga,hc,7819,11a
tcga,g9,6364,01a
tcga,ej,a6rc,01a
tcga,kk,a7au,01a
tcga,hc,7748,01a
tcga,j9,a8ck,01a
tcga,vp,a87e,01a
tcga,g9,6379,01a
tcga,ej,a8fo,11a
tcga,hc,7075,01a
tcga,vp,a87j,01a
tcga,xj,a83f,01a
tcga,kk,a59x,01a
tcga,ww,a8zi,01a
tcga,j4,a83n,01a
tcga,hc,a8d1,01a
tcga,ej,5522,01a
tcga,g9,6371,01a
tcga,g9,6348,01a
tcga,ej,5521,01a
tcga,g9,6348,11a
tcga,kk,a7b3,01a
tcga,xj,a9dk,01a
tcga,ej,5508,01a
tcga,ch,5766,01a
tcga,ej,a7nn,01a
tcga,hc,7752,01a
tcga,m7,a71z,01a
tcga,ch,5789,01a
tcga,vn,a88k,01a
tcga,hi,7170,01a
tcga,hc,7231,01a
tcga,g9,6353,01a
tcga,vp,a872,01a
tcga,qu,a6io,01a
tcga,ej,5494,01a
tcga,kk,a8ia,01a
tcga,j9,a52e,01a
tcga,ej,7321,11a
