tcga,g9,6361,01a
tcga,hc,7740,11a
tcga,ej,5518,01a
tcga,g9,6378,01a
tcga,kk,a6e7,01a
tcga,hc,a6hy,01a
tcga,kk,a8ib,01a
tcga,fc,7961,01a
tcga,v1,a8mm,01a
tcga,su,a7e7,01a
tcga,ej,7218,01b
tcga,v1,a8ws,01a
tcga,ch,5751,01a
tcga,ej,a7ng,01a
tcga,g9,6342,01a
tcga,ej,7330,01a
tcga,ch,5767,01a
tcga,kk,a59y,01a
tcga,hc,8260,11a
tcga,hc,7740,01a
tcga,ej,a8fn,01a
tcga,hc,7079,01a
tcga,kk,a8i6,01a
tcga,ej,7318,01b
tcga,m7,a720,01a
tcga,ej,7331,01a
tcga,j4,a67n,01a
tcga,g9,6499,11a
tcga,ej,7785,01a
tcga,ej,7782,01a
tcga,kk,a8il,01a
tcga,j4,a67s,01a
tcga,kk,a7ay,01a
tcga,2a,a8vx,01a
tcga,g9,7519,01a
tcga,ej,5496,01a
tcga,ej,a7nk,01a
tcga,ej,5514,01a
tcga,ej,a46b,01a
tcga,hc,7742,11a
tcga,kk,a6e0,01a
tcga,ej,7123,01a
tcga,fc,a5ob,01a
tcga,ej,8472,01a
tcga,kk,a7b0,01a
tcga,yl,a8sj,01b
tcga,ej,7791,01a
tcga,hc,a6ap,01a
tcga,ej,7330,11a
tcga,v1,a8wn,01a
tcga,j4,a67l,01a
tcga,j9,a8cl,01a
tcga,zg,a8qx,01a
tcga,kc,a7fe,01a
tcga,g9,6339,01a
tcga,vp,a87k,01a
tcga,kk,a8i5,01a
tcga,j4,a67q,01a
tcga,g9,6498,01a
tcga,ej,8474,01a
tcga,ej,5509,01a
tcga,vp,a879,01a
tcga,kc,a7fd,01a
tcga,hc,a8d0,01a
tcga,g9,6363,11a
tcga,ej,a7nj,01a
tcga,ch,5753,01a
tcga,vp,a876,01a
tcga,2a,a8vo,01a
tcga,yl,a8sl,01b
tcga,v1,a8ww,01a
tcga,g9,6332,01a
tcga,j4,a83l,01a
tcga,kk,a8i9,01a
tcga,hc,7212,01a
tcga,vp,a878,01a
tcga,tk,a8ok,01a
tcga,kk,a6e8,01a
tcga,ch,5739,01a
tcga,ej,7781,01a
tcga,hc,a4zv,01a
tcga,g9,6366,01a
tcga,hc,7819,01a
tcga,hc,7736,01a
tcga,yl,a8sp,01b
tcga,hc,7820,01a
tcga,kk,a7av,01a
tcga,yl,a9wi,01a
tcga,j4,a83j,01a
tcga,ej,5498,01a
tcga,ej,5527,01a
tcga,ej,8468,01a
tcga,j4,8198,01a
tcga,j4,a67m,01a
tcga,ch,5769,01a
tcga,kk,a8ik,01a
tcga,ej,7785,11a
tcga,j9,a8cn,01a
tcga,2a,a8vt,01a
tcga,m7,a725,01a
tcga,hi,7171,01a
tcga,hc,7230,01a
tcga,j9,a8cm,01a
tcga,ch,5752,01a
tcga,g9,6384,01a
